# SPEC_060 CBP coverage audit,2026-05-17T02:31:31.919901+00:00
# verdict,NO
# verdict: NO
# NAICS-4 × MSA is NOT feasible. Fall back to NAICS × state for the structural-density section (SPEC_061 §3); intake (SPEC_064) becomes NAICS × state with optional county/MSA narrowing for other sections.
"# census_business_patterns NAICS digit coverage: 2d=661, 3d=3236, 4d=10059, 5d=21005, 6d=28408"
"# census_cbp grain breakdown: county/6d: n=7160, counties=2792, states=55"
"# MSA coverage in census_cbp county rows: 359/393 MSAs ≥90% covered, 386/393 ≥50%"

section,naics_code,table,states_covered,counties_covered,years_covered,sum_establishments
naics_detail,5419,census_business_patterns,31,n/a (state grain),1,38127
naics_detail,5511,census_business_patterns,31,n/a (state grain),1,23801
naics_detail,5611,census_business_patterns,31,n/a (state grain),1,16085
naics_detail,5612,census_business_patterns,31,n/a (state grain),1,3951
naics_detail,5613,census_business_patterns,31,n/a (state grain),1,26353
naics_detail,5614,census_business_patterns,31,n/a (state grain),1,14520
naics_detail,5615,census_business_patterns,31,n/a (state grain),1,7172
naics_detail,5616,census_business_patterns,31,n/a (state grain),1,11708
naics_detail,5617,census_business_patterns,31,n/a (state grain),1,109419
naics_detail,5619,census_business_patterns,31,n/a (state grain),1,9524
naics_detail,5621,census_business_patterns,31,n/a (state grain),1,6025
naics_detail,5622,census_business_patterns,30,n/a (state grain),1,1526
naics_detail,5629,census_business_patterns,31,n/a (state grain),1,6017
naics_detail,6111,census_business_patterns,31,n/a (state grain),1,10029
naics_detail,6112,census_business_patterns,23,n/a (state grain),1,276
naics_detail,6113,census_business_patterns,31,n/a (state grain),1,1893
naics_detail,6114,census_business_patterns,31,n/a (state grain),1,4491
naics_detail,6115,census_business_patterns,31,n/a (state grain),1,4120
naics_detail,6116,census_business_patterns,31,n/a (state grain),1,23783
naics_detail,6117,census_business_patterns,31,n/a (state grain),1,4803
naics_detail,6211,census_business_patterns,31,n/a (state grain),1,92027
naics_detail,6212,census_business_patterns,31,n/a (state grain),1,57099
naics_detail,6213,census_business_patterns,31,n/a (state grain),1,93317
naics_detail,6214,census_business_patterns,31,n/a (state grain),1,27714
naics_detail,6215,census_business_patterns,31,n/a (state grain),1,8955
naics_detail,6216,census_business_patterns,31,n/a (state grain),1,17939
naics_detail,6219,census_business_patterns,31,n/a (state grain),1,7567
naics_detail,6221,census_business_patterns,31,n/a (state grain),1,2986
naics_detail,6222,census_business_patterns,26,n/a (state grain),1,354
naics_detail,6223,census_business_patterns,28,n/a (state grain),1,386
naics_detail,6231,census_business_patterns,30,n/a (state grain),1,7457
naics_detail,6232,census_business_patterns,30,n/a (state grain),1,19620
naics_detail,6233,census_business_patterns,30,n/a (state grain),1,9738
naics_detail,6239,census_business_patterns,30,n/a (state grain),1,2442
